name,symbol,contractAddress,sessionCategory,sessionCategoryReason,marketCap,fdv,peakMarketCap,athEstimate,peakConfidence,observedAthMarketCap,volume24h,volumeField,liquidityUsd,priceUsd,priceChange24h,buys24h,sells24h,dexId,pairAddress,dexScreenerUrl,wallets,tokenCreatedAtIso,pairCreatedAtIso,firstBuyAtIso,detectedAtIso,filterReason
Cosplay Kitten ,CK,8QeEDiUKnavmy941StADpTpWuCPjn4Z72DcH9Snapump,NA,Classified as NA using token creation time,2428.83,2428.83,11616.653878699299,11616.653878699299,history,11616.653878699299,28401.85,h24,,0.000002428,6.54,409,374,pumpfun,Cy1vBmYGiFLj5kztMqwKohxBYoKpHBsYvzY5zPxpJtVr,https://dexscreener.com/solana/cy1vbmygiflj5kztmqwkohxbyokphbsyvzy5zpxpjtvr,831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs; FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR; CXdZ6m2PotNq4D7zKK3af426ohGro1xingNuf68SoKmv; 2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,2026-07-01T23:52:04.000Z,2026-07-01T23:52:04.000Z,2026-07-01T23:52:10.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 4 wallet(s); ✓ peak≈$11,617 >= floor $10,000 [history]; ✓ peak≈$11,617 <= ceiling $25,000; ✓ vol(h24)=$28,402 >= $10,000; ✓ chain=solana"
Flatulence coin,Flatulence,9pgQzm3TyeAF3yd1oenE7nPcBZ54oPc1XWpEtPYkpump,NA,Classified as NA using token creation time,2183.52,2183.52,11565.105124574637,11565.105124574637,history,11565.105124574637,14178.39,h24,,0.000002183,-25.75,118,130,pumpfun,BohVXsEABUYU2EmgSDvYM8FyGKgDZdvxMUZ9ADhQbMCz,https://dexscreener.com/solana/bohvxseabuyu2emgsdvym8fygkgdzdvxmuz9adhqbmcz,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,2026-07-01T20:48:03.000Z,2026-07-01T20:48:03.000Z,2026-07-01T20:48:07.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,565 >= floor $10,000 [history]; ✓ peak≈$11,565 <= ceiling $25,000; ✓ vol(h24)=$14,178 >= $10,000; ✓ chain=solana"
K-Pop footballers,K-CUP,GD6sutP8vKMu42uHNyTa7eUvVRJjxZKKGV7RrtFjpump,NA,Classified as NA using DEX Screener pairCreatedAt,9384.74,9384.74,11519.410568949497,11519.410568949497,history,11519.410568949497,26178.93,h24,,0.000009384,218,315,247,pumpfun,6o3BMWegSRAJxamVxcn4gDFdX2Txtc6iiU1P8LbZrReA,https://dexscreener.com/solana/6o3bmwegsrajxamvxcn4gdfdx2txtc6iiu1p8lbzrrea,CXdZ6m2PotNq4D7zKK3af426ohGro1xingNuf68SoKmv,,2026-07-01T19:13:52.000Z,2026-07-02T05:39:44.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,519 >= floor $10,000 [history]; ✓ peak≈$11,519 <= ceiling $25,000; ✓ vol(h24)=$26,179 >= $10,000; ✓ chain=solana"
Alex's Lemonade Stand,LEMONADE,EYK6QMrhoYd7seViW8PkhZkM9q8WH86RXXVVQigLjncr,NA,Classified as NA using DEX Screener pairCreatedAt,2163.9,2163.9,11504.87333189123,11504.87333189123,history,11504.87333189123,47957.13,h24,,0.000002163,-48.91,554,501,pumpfun,4vv1fJ2e5kSkUNeWwsTkN2yEDJFFTSd43gjQD2RnoiFK,https://dexscreener.com/solana/4vv1fj2e5kskunewwstkn2yedjfftsd43gjqd2rnoifk,3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE; VJSDW6S74YXR4rRR9P4xwhMvLZJQMhrUb8XMFirUsy1,,2026-07-01T18:03:50.000Z,2026-07-01T18:04:10.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 2 wallet(s); ✓ peak≈$11,505 >= floor $10,000 [history]; ✓ peak≈$11,505 <= ceiling $25,000; ✓ vol(h24)=$47,957 >= $10,000; ✓ chain=solana"
itsklipy,KLIPY,G3r41q6ypWCpMvfA2TrypkvqXHBdcAppVaVewX7apump,NA,Classified as NA using DEX Screener pairCreatedAt,2183.75,2183.75,11445.926271295262,11445.926271295262,history,11445.926271295262,31029.9,h24,,0.000002183,-25.36,308,346,pumpfun,DsUwM1hn94fYQc7aGbTpdy3SKc9CZxCd2CG7iduw3zfw,https://dexscreener.com/solana/dsuwm1hn94fyqc7agbtpdy3skc9czxcd2cg7iduw3zfw,H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU; FhZmTCs7enzPDN1RpgJPUcZPfX6FKJ9uqj7ch2jtggGW; FAicXNV5FVqtfbpn4Zccs71XcfGeyxBSGbqLDyDJZjke,,2026-07-01T20:13:56.000Z,2026-07-01T20:14:00.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 3 wallet(s); ✓ peak≈$11,446 >= floor $10,000 [history]; ✓ peak≈$11,446 <= ceiling $25,000; ✓ vol(h24)=$31,030 >= $10,000; ✓ chain=solana"
Flatulence coin,Flatulence,Fo2HRefkA3KRfyspyzh3sGUcMdCdd4ym56BqxBcVpump,NA,Classified as NA using token creation time,2185.31,2185.31,11441.28636067616,11441.28636067616,history,11441.28636067616,17994.63,h24,,0.000002185,-10.98,209,205,pumpfun,CKqa21iRxtfk9t2vnGhfJBan67e8F4miaiM9YTB4rMSR,https://dexscreener.com/solana/ckqa21irxtfk9t2vnghfjban67e8f4miaim9ytb4rmsr,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,2026-07-01T20:48:38.000Z,2026-07-01T20:48:38.000Z,2026-07-01T20:48:44.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,441 >= floor $10,000 [history]; ✓ peak≈$11,441 <= ceiling $25,000; ✓ vol(h24)=$17,995 >= $10,000; ✓ chain=solana"
The Power Of Love,LOVE,5zJQMwixHAg1ymTdDtCkSRj11PGeHboiV9BX6YfCpump,NA,Classified as NA using token creation time,2174.09,2174.09,11439.929476920785,11439.929476920785,history,11439.929476920785,13290.75,h24,,0.000002174,-1.55,91,111,pumpfun,AmVMWWRoMhb18dPvREKetre5jFP6ZorzfDLfoTTZZfVG,https://dexscreener.com/solana/amvmwwromhb18dpvreketre5jfp6zorzfdlfottzzfvg,6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC,2026-07-01T16:18:13.000Z,2026-07-01T16:18:13.000Z,2026-07-01T16:18:29.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,440 >= floor $10,000 [history]; ✓ peak≈$11,440 <= ceiling $25,000; ✓ vol(h24)=$13,291 >= $10,000; ✓ chain=solana"
LIVEWORK,LIVEWORK,99JeDUR5qhXw9xvU52bVqWuRwF4ZhvZ3v2uBUciTpump,NA,Classified as NA using token creation time,2191.71,2191.71,11427.384103868686,11427.384103868686,history,11427.384103868686,16929.39,h24,,0.000002191,-25.53,122,142,pumpfun,8cER9Ef1CWE64KrH5qmLY5gLhvvGAJgnVEtmrqpbS2wT,https://dexscreener.com/solana/8cer9ef1cwe64krh5qmly5glhvvgajgnvetmrqpbs2wt,Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,2026-07-01T21:57:35.000Z,2026-07-01T21:57:35.000Z,2026-07-01T21:57:38.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,427 >= floor $10,000 [history]; ✓ peak≈$11,427 <= ceiling $25,000; ✓ vol(h24)=$16,929 >= $10,000; ✓ chain=solana"
W Coin,W,DVNC1ABvZvJBP3ocN2RWHHHGYZbQofGy8Uc6SAfXpump,NA,Classified as NA using DEX Screener pairCreatedAt,2184.58,2184.58,11393.089717735687,11393.089717735687,history,11393.089717735687,31012.03,h24,,0.000002184,-17.27,452,382,pumpfun,3MNV2CBNqCsuK9DqFfMfZiTSBPintkFjYnPcFqaJbSmS,https://dexscreener.com/solana/3mnv2cbnqcsuk9dqffmfzitsbpintkfjynpcfqajbsms,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; DPNPVvoGdwNBY849ryx2JZzakWuWbDTfSUYr8aNfKLwA,,2026-07-01T21:45:16.000Z,2026-07-01T21:45:17.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 2 wallet(s); ✓ peak≈$11,393 >= floor $10,000 [history]; ✓ peak≈$11,393 <= ceiling $25,000; ✓ vol(h24)=$31,012 >= $10,000; ✓ chain=solana"
Cash Dog,CASHDOG,BBFFGtpVBfsMk6HwXp6zRdZFQmoj8tzhbTbtWuf8pump,NA,Classified as NA using token creation time,4000,4000,11344.372559637086,11344.372559637086,history,11344.372559637086,15644.6,h24,,0.000004,-14.76,116,136,pumpfun,CJFraHbSRJNwDTYdv5gB12SMBauYaXWaJSMG9aNzVn1i,https://dexscreener.com/solana/cjfrahbsrjnwdtydv5gb12smbauyaxwajsmg9anzvn1i,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN; 8HeDT75s5g4CtCimH5B5nySqCiQhtWii8UnZhxBtFo38,2026-07-01T17:51:36.000Z,2026-07-01T17:51:36.000Z,2026-07-01T17:51:36.000Z,2026-07-02T13:58:01.926Z,"✓ bought by 2 wallet(s); ✓ peak≈$11,344 >= floor $10,000 [history]; ✓ peak≈$11,344 <= ceiling $25,000; ✓ vol(h24)=$15,645 >= $10,000; ✓ chain=solana"
