name,symbol,contractAddress,sessionCategory,sessionCategoryReason,marketCap,fdv,peakMarketCap,athEstimate,peakConfidence,observedAthMarketCap,volume24h,volumeField,liquidityUsd,priceUsd,priceChange24h,buys24h,sells24h,dexId,pairAddress,dexScreenerUrl,wallets,tokenCreatedAtIso,pairCreatedAtIso,firstBuyAtIso,detectedAtIso,filterReason
Emerging Liberty,LIBERTY,3v73ewwvtNTaUHR58fhFpzzUfsWigAuKhC6u7yktpump,EU,Classified as EU using token creation time,2284.13,2284.13,11490.189259258557,11490.189259258557,history,11490.189259258557,18682.35,h24,,0.000002284,-25.79,248,198,pumpfun,G1VdfMwNDaBLxKrD1zV1pUF2aQ8ob85XFDU8m1hEzhMU,https://dexscreener.com/solana/g1vdfmwndablxkrd1zv1puf2aq8ob85xfdu8m1hezhmu,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd; BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh,2026-07-03T09:45:37.000Z,2026-07-03T09:45:37.000Z,2026-07-03T09:46:04.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 2 wallet(s); ✓ peak≈$11,490 >= floor $10,000 [history]; ✓ peak≈$11,490 <= ceiling $25,000; ✓ vol(h24)=$18,682 >= $10,000; ✓ chain=solana"
Universal Basic Capital,UBC,5T33GegGTnmuXSfrCUY126kTaARJcdcaf8gMEKGkpump,EU,Classified as EU using DEX Screener pairCreatedAt,2280.04,2280.04,11487.36487753475,11488.18306991098,history,11488.18306991098,22477.72,h24,,0.00000228,-25.75,183,182,pumpfun,4iuNfGWcam6TrfWLxhZNRK5xYToLVJhz178FFuc1xE7j,https://dexscreener.com/solana/4iunfgwcam6trfwlxhznrk5xytolvjhz178ffuc1xe7j,CXdZ6m2PotNq4D7zKK3af426ohGro1xingNuf68SoKmv; BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd; BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh,,2026-07-02T14:46:47.000Z,2026-07-02T14:46:53.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 3 wallet(s); ✓ peak≈$11,488 >= floor $10,000 [history]; ✓ peak≈$11,488 <= ceiling $25,000; ✓ vol(h24)=$22,478 >= $10,000; ✓ chain=solana"
Oopy Goop,OOPY,Ac4aHjHuiJTmJwxqDuMYHLWy8AAnZ7yovMtEz7cYpump,NA,Classified as NA using token creation time,2455.34,2455.34,11467.075791789972,11468.625647915509,history,11468.625647915509,38798.93,h24,,0.000002455,0.56,646,498,pumpfun,6UYU8LKzptVJmX3kxG9i66JRyFe4PusxvpNCx9KQQXVw,https://dexscreener.com/solana/6uyu8lkzptvjmx3kxg9i66jryfe4pusxvpncx9kqqxvw,FhZmTCs7enzPDN1RpgJPUcZPfX6FKJ9uqj7ch2jtggGW,2026-07-03T00:42:28.000Z,2026-07-03T00:42:28.000Z,2026-07-03T00:42:31.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,469 >= floor $10,000 [history]; ✓ peak≈$11,469 <= ceiling $25,000; ✓ vol(h24)=$38,799 >= $10,000; ✓ chain=solana"
Archive Genocide,GENOCIDE,CmzunvLryNZYEnfZYb3KaE4joCqTtA2c5bT85L5jpump,EU,Classified as EU using DEX Screener pairCreatedAt,2283.18,2283.18,11459.540704009589,11459.540704009589,history,11459.540704009589,23493.72,h24,,0.000002283,-19.74,439,297,pumpfun,Hx5f5YnivbSVoJ4Qgu8LhjFGFHhvxuyQFpCuQvmbmP7N,https://dexscreener.com/solana/hx5f5ynivbsvoj4qgu8lhjfgfhhvxuyqfpcuqvmbmp7n,4sAUSQFdvWRBxR8UoLBYbw8CcXuwXWxnN8pXa4mtm5nU,,2026-07-03T10:58:46.000Z,2026-07-03T10:59:26.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,460 >= floor $10,000 [history]; ✓ peak≈$11,460 <= ceiling $25,000; ✓ vol(h24)=$23,494 >= $10,000; ✓ chain=solana"
One Trade Can Change Your Life,TRADE,9wF7Xa6cS5hpsCGodxMKhXVkQjiBYWexzKixUfX8pump,NA,Classified as NA using DEX Screener pairCreatedAt,2264.68,2264.68,11443.503781012487,11443.503781012487,history,11443.503781012487,19267.19,h24,,0.000002264,-33.88,161,157,pumpfun,52XiuYdMdS9KePxU4uZmFAVk6cDR138Yt3K9C2Kq7wDY,https://dexscreener.com/solana/52xiuydmds9kepxu4uzmfavk6cdr138yt3k9c2kq7wdy,H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU,,2026-07-02T16:07:50.000Z,2026-07-02T16:08:01.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,444 >= floor $10,000 [history]; ✓ peak≈$11,444 <= ceiling $25,000; ✓ vol(h24)=$19,267 >= $10,000; ✓ chain=solana"
Alien,ALIEN,8NM15aiNs93ZpNFiG3X9v9Vet8adUwUStZ5taz2fpump,EU,Classified as EU using DEX Screener pairCreatedAt,2345.01,2345.01,11434.509972568812,11437.353011431998,history,11437.353011431998,41492.53,h24,,0.000002345,-13.9,554,446,pumpfun,3MzbmqdZHtCkwQ92hvNnx4HtvkT9647YYK1BqLR4hp9V,https://dexscreener.com/solana/3mzbmqdzhtckwq92hvnnx4htvkt9647yyk1bqlr4hp9v,831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs; 8MaVa9kdt3NW4Q5HyNAm1X5LbR8PQRVDc1W8NMVK88D5,,2026-07-02T14:42:54.000Z,2026-07-02T14:42:56.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 2 wallet(s); ✓ peak≈$11,437 >= floor $10,000 [history]; ✓ peak≈$11,437 <= ceiling $25,000; ✓ vol(h24)=$41,493 >= $10,000; ✓ chain=solana"
ThinkingCoin,THINKING,EwoEx2z8jMPehKiY6yspoxL34SQnqjucZBBYzsTepump,NA,Classified as NA using DEX Screener pairCreatedAt,2258.53,2258.53,11420.611651650792,11420.611651650792,history,11420.611651650792,20544.29,h24,,0.000002258,-17.28,176,207,pumpfun,559dc1w8ZtKtMfLiuvVhacgQLtAAwk198dvx9qVP2Ktt,https://dexscreener.com/solana/559dc1w8ztktmfliuvvhacgqltaawk198dvx9qvp2ktt,7moqFjvm2MwAiMtCZoqYoTAPzRBxxMRT2ddyHThQuWjr; Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,,2026-07-02T15:55:20.000Z,2026-07-02T15:55:20.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 2 wallet(s); ✓ peak≈$11,421 >= floor $10,000 [history]; ✓ peak≈$11,421 <= ceiling $25,000; ✓ vol(h24)=$20,544 >= $10,000; ✓ chain=solana"
niggy,niggy,EyMCBReMcWdRWmEn8z4jkE7CwvSYifwW2RNYfBZkpump,EU,Classified as EU using DEX Screener pairCreatedAt,2273.36,2273.36,11392.498465742028,11392.498465742028,history,11392.498465742028,29949.02,h24,,0.000002273,-20.3,405,390,pumpfun,7RWAQPqSTZAP7T5oadwzsY9pU5dKnxY2bAFfkCQRt29b,https://dexscreener.com/solana/7rwaqpqstzap7t5oadwzsy9pu5dknxy2baffkcqrt29b,831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs; 75GMVrr2xfgAeybuNg1VMHqFE3GTFJLzEHo6xC4MwUzF; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU,,2026-07-02T14:21:01.000Z,2026-07-02T14:21:01.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 3 wallet(s); ✓ peak≈$11,392 >= floor $10,000 [history]; ✓ peak≈$11,392 <= ceiling $25,000; ✓ vol(h24)=$29,949 >= $10,000; ✓ chain=solana"
Bull Strategy,BULLSTRAT,YLkZ3NSYF1Xyj4eEzhg4PDjda1wJkr3zYXuNCpCpump,EU,Classified as EU using token creation time,2662.62,2662.62,11376.804457515047,11376.804457515047,history,11376.804457515047,31710.73,h24,,0.000002662,13.41,408,347,pumpfun,4mqVr1QGt7EHpCRiE4kPtWhmmshxuydgWxW8vv9f7MzM,https://dexscreener.com/solana/4mqvr1qgt7ehpcrie4kptwhmmshxuydgwxw8vv9f7mzm,5PwAReW84atT9p3NkKv1aWMR4Fiq8DjFqo51QVVD4djQ,2026-07-03T03:27:22.000Z,2026-07-03T03:27:22.000Z,2026-07-03T03:28:20.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 1 wallet(s); ✓ peak≈$11,377 >= floor $10,000 [history]; ✓ peak≈$11,377 <= ceiling $25,000; ✓ vol(h24)=$31,711 >= $10,000; ✓ chain=solana"
Eve,Eve,DkKDvoRtPxd5DA65f1sc2KW6gCJEkQYk4WAk2RMHpump,NA,Classified as NA using token creation time,2260.76,2260.76,11354.882065940134,11354.882065940134,history,11354.882065940134,28039,h24,,0.00000226,-25.66,296,348,pumpfun,ECWxzVALunqpmSXr7sFmcFfgJeqD8q5PUWRNBLQYhaoM,https://dexscreener.com/solana/ecwxzvalunqpmsxr7sfmcffgjeqd8q5puwrnblqyhaom,EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK; 831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs; 4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9; H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU,2026-07-02T15:08:08.000Z,2026-07-02T15:08:08.000Z,2026-07-02T15:08:15.000Z,2026-07-03T14:01:29.047Z,"✓ bought by 4 wallet(s); ✓ peak≈$11,355 >= floor $10,000 [history]; ✓ peak≈$11,355 <= ceiling $25,000; ✓ vol(h24)=$28,039 >= $10,000; ✓ chain=solana"
